year,Live births,Date,Live births pct,Live births pct stand
1952,110192,1952-12-31,0.00021784910318789485,-0.06028449360482706
1953,110144,1953-12-31,-0.0004356033105851198,-0.07280287475511442
1954,105096,1954-12-31,-0.04583091226031377,-0.9424542340431565
1955,107305,1955-12-31,0.021018877978229433,0.33820696849321463
1956,107960,1956-12-31,0.006104095801686693,0.05248007526556122
1957,107168,1957-12-31,-0.007336050389032955,-0.20499678025563484
1958,105502,1958-12-31,-0.01554568527918787,-0.36227118385949963
1959,104743,1959-12-31,-0.007194176413717224,-0.20227885855104732
1960,102219,1960-12-31,-0.024097075699569426,-0.5260926992306824
1961,104501,1961-12-31,0.022324616754223703,0.3632213923993506
1962,107284,1962-12-31,0.026631324102161624,0.44572625877965527
1963,112903,1963-12-31,0.052375004660527136,0.9389055609725866
1964,122664,1964-12-31,0.08645474433806011,1.591781213114752
1965,122806,1965-12-31,0.0011576338616057225,-0.04228075904491207
1966,123354,1966-12-31,0.0044623226878166555,0.021028142166025082
1967,121360,1967-12-31,-0.016164858861488107,-0.37413287529724154
1968,113087,1968-12-31,-0.06816908371786423,-1.370393191206796
1969,107622,1969-12-31,-0.04832562540345042,-0.9902461915417848
1970,110150,1970-12-31,0.02348962108119168,0.3855397248430426
1971,114484,1971-12-31,0.039346345891965395,0.6893116916957588
1972,112273,1972-12-31,-0.019312742391950022,-0.43443781108208784
1973,109663,1973-12-31,-0.02324690709253341,-0.5098057677869144
1974,109874,1974-12-31,0.0019240764888794892,-0.02759779095754731
1975,103632,1975-12-31,-0.0568105284234669,-1.1527939881204146
1976,98345,1976-12-31,-0.051017060367454015,-1.0418068071435667
1977,96057,1977-12-31,-0.02326503635161925,-0.5101530753649804
1978,93248,1978-12-31,-0.029243053603589586,-0.6246757198695168
1979,96255,1979-12-31,0.0322473404255319,0.5533139444326238
1980,97064,1980-12-31,0.00840475819437958,0.09655454514710629
1981,94065,1981-12-31,-0.030897140031319492,-0.6563635427643495
1982,92748,1982-12-31,-0.014000956785201746,-0.33267836324418726
1983,91780,1983-12-31,-0.01043688273601584,-0.26440034260310763
1984,93889,1984-12-31,0.022978862497275987,0.37575497159326937
1985,98463,1985-12-31,0.048717102109938404,0.8688300399801978
1986,101950,1986-12-31,0.03541431806871609,0.6139846717820062
1987,104699,1987-12-31,0.026964198136341322,0.4521032251004848
1988,112080,1988-12-31,0.07049733044250672,1.2860803156859475
1989,116023,1989-12-31,0.035180228408279834,0.6095001469246226
1990,123938,1990-12-31,0.06821923239357708,1.242438117611317
1991,123737,1991-12-31,-0.001621778631251125,-0.09552678618643615
1992,122848,1992-12-31,-0.007184593128975125,-0.20209526873097053
1993,117998,1993-12-31,-0.03947968220890852,-0.8207818415615397
1994,112257,1994-12-31,-0.04865336700622047,-0.9965248343561746
1995,103422,1995-12-31,-0.07870333253160156,-1.5722009112531614
1996,95297,1996-12-31,-0.07856162131848154,-1.5694861076320945
1997,90502,1997-12-31,-0.050316379319390925,-1.0283836530782373
1998,89028,1998-12-31,-0.016286932885461125,-0.3764714834780882
1999,88173,1999-12-31,-0.009603720177921549,-0.24843920106848363
2000,90441,2000-12-31,0.02572215984485049,0.4283091302155053
2001,91466,2001-12-31,0.011333355447197713,0.15265854885684949
2002,95815,2002-12-31,0.04754772265103968,0.8464278918401559
2003,99157,2003-12-31,0.0348797161196055,0.6037431441334794
2004,100928,2004-12-31,0.017860564559234238,0.27770222424907937
2005,101346,2005-12-31,0.004141566265060348,0.01488331651103722
2006,105913,2006-12-31,0.04506344601661638,0.7988358696255641
2007,107421,2007-12-31,0.014238101082964416,0.20830562008458306
2008,109301,2008-12-31,0.017501233464592536,0.2708184121962597
2009,111801,2009-12-31,0.022872617816854346,0.3737196108283911
2010,115641,2010-12-31,0.03434674108460567,0.5935327837597351
2011,111770,2011-12-31,-0.03347428680139397,-0.7057347056341079
2012,113177,2012-12-31,0.012588351078106852,0.1767008713252201
2013,113593,2013-12-31,0.003675658481846922,0.005957783315016171
2014,114907,2014-12-31,0.011567614201579257,0.1571463130969528
2015,114870,2015-12-31,-0.0003219995300547396,-0.07062653353298697
2016,117425,2016-12-31,0.022242535039610045,0.3616489287166932
2017,115416,2017-12-31,-0.0171087928464978,-0.39221609781811756
2018,115832,2018-12-31,0.0036043529493310356,0.004591762139879553
2019,114523,2019-12-31,-0.011300849506181376,-0.2809516095387774
2020,113077,2020-12-31,-0.012626284676440558,-0.30634336309508764
2021,114263,2021-12-31,0.010488428239164405,0.13647202844392897
2022,104636,2022-12-31,-0.08425299528281249,-1.678517441900094
