,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
β_fourier[6],0.021,0.049,-0.061,0.12,0.001,0.001,2280.0,1691.0,1.0
β_fourier[7],-0.011,0.041,-0.088,0.067,0.001,0.001,2295.0,1513.0,1.0
β_fourier[8],-0.033,0.049,-0.122,0.054,0.001,0.001,2140.0,1612.0,1.0
β_fourier[9],0.012,0.04,-0.055,0.09,0.001,0.001,2715.0,1663.0,1.0
β_fourier[10],0.019,0.063,-0.104,0.139,0.001,0.001,2565.0,1652.0,1.0
β_fourier[11],0.011,0.006,-0.0,0.022,0.0,0.0,1956.0,1520.0,1.0
β_fourier[12],-0.011,0.047,-0.092,0.078,0.001,0.001,2141.0,1655.0,1.0
β_fourier[13],0.008,0.042,-0.067,0.085,0.001,0.001,2598.0,1686.0,1.0
β_fourier[14],0.014,0.046,-0.066,0.105,0.001,0.001,2409.0,1655.0,1.0
β_fourier[15],0.028,0.044,-0.054,0.109,0.001,0.001,2131.0,1429.0,1.0
β_fourier[16],0.054,0.045,-0.03,0.141,0.001,0.001,2454.0,1389.0,1.0
β_fourier[17],0.013,0.045,-0.067,0.1,0.001,0.001,2341.0,1481.0,1.0
β_fourier[18],0.001,0.045,-0.083,0.089,0.001,0.001,2415.0,1823.0,1.0
β_fourier[19],0.013,0.043,-0.067,0.098,0.001,0.001,2453.0,1652.0,1.0
beta[0],-0.045,0.038,-0.123,0.022,0.002,0.001,589.0,1047.0,1.0
beta[1],-0.044,0.038,-0.113,0.029,0.002,0.001,559.0,964.0,1.0
beta[2],-0.044,0.037,-0.114,0.023,0.002,0.001,550.0,963.0,1.0
beta[3],-0.044,0.037,-0.115,0.023,0.002,0.001,529.0,907.0,1.0
beta[4],-0.044,0.036,-0.108,0.029,0.002,0.001,506.0,876.0,1.0
beta[5],-0.044,0.035,-0.108,0.025,0.002,0.001,552.0,806.0,1.0
beta[6],-0.044,0.035,-0.107,0.025,0.001,0.001,584.0,853.0,1.0
beta[7],-0.044,0.034,-0.107,0.023,0.001,0.001,614.0,833.0,1.0
beta[8],-0.045,0.033,-0.106,0.022,0.001,0.001,600.0,700.0,1.0
beta[9],-0.045,0.032,-0.107,0.015,0.001,0.001,582.0,820.0,1.0
beta[10],-0.045,0.032,-0.106,0.014,0.001,0.001,544.0,787.0,1.0
beta[11],-0.045,0.031,-0.106,0.009,0.001,0.001,530.0,833.0,1.0
beta[12],-0.045,0.029,-0.102,0.008,0.001,0.001,616.0,859.0,1.0
beta[13],-0.045,0.029,-0.099,0.008,0.001,0.001,672.0,911.0,1.0
beta[14],-0.046,0.028,-0.097,0.007,0.001,0.001,774.0,854.0,1.0
beta[15],-0.047,0.029,-0.102,0.007,0.001,0.001,869.0,1038.0,1.0
beta[16],-0.047,0.027,-0.103,-0.001,0.001,0.001,854.0,940.0,1.0
beta[17],-0.047,0.025,-0.09,0.003,0.001,0.001,703.0,706.0,1.0
